крокус;crocus
сити;city
молл;mall
мод;mode
майнкрафт;minecraft
майнкравт;minecraft
майне;minecraft
каквернуть;как вернуть
входитв;входит в
какоформить;как оформить
gta;гта
кс;counter-strike
кс;counter strike
кс;контр страйк
го;global offensive
го;go 
кап ремонт;капитальный
кап ремонт;капремонт
биос;bios
аугументин;аугментин
аугументин;augmentin
блок;block
страйк;strike
юсб;usb
варп;warp
стайл;style
лямблей;лямблий
самсунг;samsung
м;m
скайрим;skyrim
гугл;google
veizu;вейзу
you tube;youtube
ютуб;youtube
ютуба;youtube
акпп;автоматическая коробка передач
асц;автоматизированный сортировочный центр
опфр;отделение пенсионного фонда российской федерации
дибазол;dibazol
филлипс;philips
патрол;patrol
инфинити;infinity
ифнс;инспекция федеральной налоговой службы
вай фай;wifi
вай фай;wi fi
соц;социальный
соц отчисления;соцотчисления
отдатьвещи;отдать вещи
вк;вконтакте
вк;vk
физ лица;физического лица
демо;demo
1ю6;1.6
дискорд;discord
супергерл;super girl
супергерл;supergirl
героях;heroes
fnaf;five nights at freddy's
fnaf;5 ночей с фредди
олдчику;олдчика
киви;qiwi
скриншоты;screenshot
трейнз;trainz
сущ;существительное
прил;прилагательное
уприставых;у приставов
совмином;совет министров
лнр;луганская народная республика
смки;симки
смки;сим карта
смки;sim карта
нокиа;nokia
люмиа;lumia
мерседес;mercedes
симс;sims
айфон;iphone
майкрософт;microsoft
эксель;excel
asus;асус
остоновите;остановите
веко;beko
лутше;лучше
консалдинг;консалтинг
наradeon;на radeon
аера;вера
поликленика;поликлиника
рейтенговые;рейтинговые
укреаить;украсить
люсида;lucida
теле2;tele2
профлистом;профилированный лист
выдовила;выдавила
сделаь;сделать
фас;федеральная антимонопольная служба
допы;дополнения
лада;LADA Kalina
икс бокс;xbox
спб;санкт петербург
псп;psp
псп;playstation
км;километров
доу;дошкольное образовательное учреждение
санпин;санитарные правила и нормы
телеграмм;telegram
бухучете;бухгалтерский учет
роддома;родильный дом
ты ли ты ли ты ли я;саруханов
термекс;thermex
сан андреас;san andreas
одн;общедомовые нужды
мегафон;megafon
пользуваться;пользоваться
эндином;энджин
чит эндином;cheat engine
андроиде;android
какузнать;как узнать
гиг;gb
гиг;гб
кингстон;kingston
микрофлешку;microsd
микрофлешку;micro sd
рса;российский союз автостраховщиков
мочииспускания;мочеиспускания
оквэд;общероссийский классификатор видов экономической деятельности
винде;винда
винде;windows
креолином;креолин
s c;sc
рб;республика беларусь
зачем я тебе асти; песня artik asti
опель;opel insignia
skipe;skype
skipe;скайп
киберлинк директор;cyberlink powerdirector
киберлинк директор;power director
киберлинк директор;повер
спб на ветеранов;проспект
сиотрят;смотрят
даренному;дареному
стрим;stream
сталкер;S.T.A.L.K.E.R
молочки;кисло молоко
загранпаспорт;заграничный паспорт
калорий;кк ккал
кк;калорий
ккал;калорий
пдф;pdf
бмп;bmp
сквиртует;сквирт
индрайвер;indriver
ммр;песня mmr metagame
агв;индивидуальное отопление
трех рядного;трехрядный
двух рядный;двухрядный
дектетного;декретного
вантандер;вар тандер war thunder
урл;url
инстаграм;instagram инсте инста
поу;игра видеоигра pou
